County,SeriesId
Atchison County,KSATCH5URN
Barber County,KSBARB7URN
Barton County,KSBART9URN
Bourbon County,KSBOUR1URN
Brown County,KSBROW3URN
Butler County,KSBUTL5URN
Chase County,KSCHAS7URN
Chautauqua County,KSCHAU9URN
Cherokee County,KSCHER1URN
Cheyenne County,KSCHEY3URN
Clark County,KSCLAR5URN
Clay County,KSCLAY7URN
Cloud County,KSCLOU9URN
Coffey County,KSCOFF1URN
Comanche County,KSCOMA3URN
Cowley County,KSCOWL5URN
Crawford County,KSCRAW7URN
Decatur County,KSDECA9URN
Dickinson County,KSDICK1URN
Doniphan County,KSDONI3URN
Douglas County,KSDOUG5URN
Edwards County,KSEDWA7URN
Elk County,KSELKC9URN
Ellis County,KSELLI1URN
Ellsworth County,KSELLS3URN
Finney County,KSFINN5URN
Ford County,KSFORD7URN
Franklin County,KSFRAN9URN
Geary County,KSGEAR1URN
Gove County,KSGOVE3URN
Graham County,KSGRAH5URN
Grant County,KSGRAN7URN
Gray County,KSGRAY9URN
Greeley County,KSGREE1URN
Greenwood County,KSGREE3URN
Hamilton County,KSHAMI5URN
Harper County,KSHARP7URN
Harvey County,KSHARV9URN
Haskell County,KSHASK1URN
Hodgeman County,KSHODG3URN
Jackson County,KSJACK5URN
Jefferson County,KSJEFF7URN
Jewell County,KSJEWE9URN
Johnson County,KSJOHN1URN
Kearny County,KSKEAR3URN
Kingman County,KSKING5URN
Kiowa County,KSKIOW7URN
Labette County,KSLABE9URN
Lane County,KSLANE1URN
Leavenworth County,KSLEAV0URN
Lincoln County,KSLINC5URN
Linn County,KSLINN7URN
